"review-details_overallRating__VDxCx","timestamp_reviewDate__wvu2v","review-details_detailsLink__NxIv5","review-details_detailsLink__NxIv5 href","review-details_employee__5iA6v","review-details_employeeDetails__BvAwX","review-details_isExpanded__bLJng","review-details_isExpanded__bLJng 2","review-details_location__E_Ine","review-details_isCollapsed__Bsg_9","review-details_isCollapsed__Bsg_9 2","expand-button_ExpandButton__FlBlZ","review-details_responseLogo__9tv_M src","review-details_employerName__MLS_I","review-details_employerDate__XHTEv","review-details_isCollapsed__Bsg_9 3","expand-button_ExpandButton__FlBlZ 2"
"4.0","23 Sept 2022","Good team","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW69380484.htm","Ui\ux designer","Current employee","Collaborative team, always supporting. People are helpful.","Organisation can be more fast paced","","","","","","","","",""
"5.0","14 Jul 2022","One of the Best Data Science Teams in the Country","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW66679230.htm","Data scientist","Current employee, more than 1 year","","","Noida","Great Mentors
Great Pay
Constant Upskilling
Major Love for the Team Environment 
One of the only places with cutting edge Deep Learning is applied at Scale. Seamlessly.","Nothing at all. Absolutely zero.","Show more","","","","",""
"4.0","25 Sept 2022","All Good","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW69437198.htm","Sales manager","Current employee","All Good. Very well management","No Cons. ther is nbothing wrong.","","","","","","","","",""
"5.0","23 Sept 2022","Good","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW69369801.htm","Software engineer","Current employee, less than 1 year","","","Noida","Good job security
Good management at work","Less benefits
Food is not free","Show more","","","","",""
"4.0","13 Sept 2022","Good Place to work","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW69010989.htm","Anonymous employee","Former employee, more than 1 year","","","","Good place to work.
Work culture is good.","Salary not upto the industry standards.","Show more","","","","",""
"3.0","17 Sept 2022","na","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW69168145.htm","Consulting senior software engineer","Current employee","good working ,quality of work and proper growth","late working hours , no wfh","","","","","","","","",""
"4.0","11 Sept 2022","..","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW68942351.htm","Inside sales executive","Current employee, more than 1 year","","","Noida","Good salary structure
Great place to learn.","Here you can't fine work life balance","Show more","","","","",""
"5.0","17 Aug 2022","Great work culture","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW68046435.htm","Anonymous employee","Current employee, more than 10 years","","","","work culture is meritocratic and apolitical
there's lots to learn on the job and from many talented colleagues","head office is in noida","Show more","","","","",""
"1.0","17 Sept 2022","jeevansathi - forced hackathon on weekend","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW69163915.htm","Senior software engineer","Current employee, less than 1 year","","","Noida","Salary and less work.
My manager backs me even in front of buisness head or Engineering head.","a new chapter added where we are forced on weekends to participate on hackathon.
Micro management is too frustrated for developers.","Show more","","","","",""
"4.0","15 Sept 2022","good","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW69078728.htm","Manager","Current employee","good company to work with","i am not sure about it","Cochin","","","","","","","",""
"5.0","26 Dec 2021","It's a great experience!","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW57102716.htm","Certified professional resume writer","Current employee, less than 1 year","","","Noida","The support you get from your seniors and colleagues is amazing. Even the people from higher management connect with you on a regular basis to know about any issues that you might be facing. The policies about incentives and salary are pretty transparent and the best thing is that you can connect to anyone,,,,and by anyone I mean anyone.....which I Believe is rare in many of the organizations of repute","Sometimes you'll feel a little bit of pressure, especially when you are new, but its alright as you'll get over it in no time. The key is to keep connecting with your seniors and get help from them in case of any problem.","Show more","","","","",""
"4.0","16 Sept 2022","good","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW69124609.htm","Software engineer","Former employee, less than 1 year","Good Org for career growth","nothing remember to me now","","","","","","","","",""
"3.0","16 May 2022","I was in jeevansathi process, the management is really messed up and robotic.","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW64190668.htm","Associate senior executive","Former employee, less than 1 year","","","Noida","5 days working, WFH during covid","management has lack of management skills, Misleading sales information too many complaints of misguidance. But the management says this is how the sale is done. Working in the CS department of jeevansathi sucks. rest may be good.","Show more","","","","",""
"1.0","22 Dec 2021","very high expectations with poor remuneration","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW56989043.htm","Senior sales associate","Former employee, less than 1 year","","","Noida","brand identity
work from home
helpful mentors","-10-6:30 is the official timing but ready for 9:15 to 9 pm approx. 12 hrs
-lot of policies explained during interviews regarding employee rights but HR's will be part of game
-if you complete your daily DRR and providing good productivity no matter they will make you sit for team targets.
-promised for 6 week off provide 4 that too is difficult.
-politics spoiled everything -only need performance without any motivation just threatning 
-poor remuneration- i believe lowest into industry.","Show more","","","","",""
"1.0","28 Jan 2022","Politics in Shiksha","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW58736897.htm","Software engineer","Current employee, less than 1 year","","","Patna, Bihar","Normal level of work
Decent salary","Many employee reviews related to this vertical are getting deleted, employees are forced by to take them down

Management has forced all good employees to leave, only average employees are now left in tech team

EM and leads are sub-par and are weak technically, they are getting promoted because hard working employees have left, there's no one else to promote here

No good work, no clear vision, people here with more than 5 years experience don't even have knowledge of basic stuff","Show more","","","","",""
"2.0","18 Feb 2022","Used to be good in pre-pandemic era (Shiksha)","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW59899289.htm","Anonymous employee","Former employee","","","","-on time salary
-work culture
-people are approachable (in tech teams atleast)
-good to start your career
-narcissists perform extremely well
-business is going good
-Good support provided by the admin & operations teams during covid 2nd wave","- lack of expertise in tech teams, very few people to learn from and look up to
- despite having a framework for appraisals it isn't followed well and appraisals are done on the basis of some bell curve distribution
- default health insurance package doesn't cover parents anymore, it used to do that before. now you pay extra premium for that
- business & product leadership are stubborn and are too focused on cost cutting instead of urging teams to innovate
- no one cares about your individual growth, but people will surely point it out or lack thereof, when the time comes for evaluation
- no celebration
- tech leadership cant be trusted, they dont have that vigor to fight for anything anymore. Dont expect any backup if you are in some sort of professional conflict with product management.
- almost everyone feels they are underpaid, even those who are appreciated more, feel they are underpaid. Even new hires bounce away before joining
- estimate timelines are challenged frequently as product doesn't believe in tech. As a result senior engineering managers make false commitments around delivery timelines and instead of rectifying their decisions and due dates, they put undue pressure on team to meet the deadlines... just to show that they got this project delivered on time.","Show more","","","","",""
"5.0","2 Sept 2022","Employee Friendly","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW68635215.htm","Sales manager","Current employee","Work life balance and Career Growth","There is nothing Such to Mention","","","","","","","","",""
"1.0","7 Oct 2022","Infoedge Work Experience","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW69884894.htm","Senior software engineer","Former employee","","","","Nothing pros here as i know","Worst work life balance Worst management in 99acres People don't support Work pressure No code review","Show more","","","","",""
"5.0","16 Aug 2022","Good company to work for.","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW67977151.htm","Business manager","Current employee, more than 5 years","","","","Healthy environment.
Good incentives.
Good growth.
No layoffs","Non flexible timing.
Hybrid working.
Pressure.
No fancy office space.","Show more","","","","",""
"4.0","29 Aug 2022","Great 👍","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW68471829.htm","Assistant manager","Current employee, more than 1 year","","","","Healthy working environment
No politics
Great seniors","Monotony
Stagnant learning
Lethargic lifestyle
Too much followup activities for clients","Show more","","","","",""
"5.0","24 Aug 2022","Amazing in one word","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW68280915.htm","Deputy manager corporate sales","Former employee, more than 3 years","","","","Work environment, Work culture, Amazing people","Nothinh as such
Salary can be improved","Show more","","","","",""
"4.0","23 Aug 2022","IEIL INDIA LTD- enriching experience","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW68271312.htm","Sr executive operations","Former employee, more than 3 years","Environment, learning, team spirit, work culture","Distance, pay packages, slow growth","Noida","","","","","","","",""
